NICsChecksID,Month,State,Permit,Permit_Recheck,Handgun,Long_Gun,Other,Multiple,Admin,PrePawn_Handgun,Pre_Pawn_Long_Gun,Prepawn_Other,Redemption_Handgun,Redemption_Long_Gun,Redemption_Other,Returned_Handgun,Returned_Long_Gun,Returned_Other,Rentals_Handgun,Rentals_Long_Gun,Private_Sale_Handgun,private_sale_long_gun,Private_Sale_Other,Return_To_Seller_Handgun,Return_To_Seller_Long_Gun,Return_To_Seller_Other,Totals,Latitude,longitude
13800,2001-07,Virginia,0,,5016,6382,,137,0,,,,,,,,,,,,,,,,,,11535,36.9172,-76.2739
13801,2001-07,Washington,2729,,2781,5262,,152,16,,,,,,,,,,,,,,,,,,10940,46.8306,-122.252
13802,2001-07,West Virginia,0,,2362,5091,,150,0,,,,,,,,,,,,,,,,,,7603,38.416,-82.4205
13803,2001-07,Wisconsin,1,,2485,6350,,5,0,,,,,,,,,,,,,,,,,,8841,43.0694,-87.9049
13804,2001-07,Wyoming,165,,644,1422,,54,0,,,,,,,,,,,,,,,,,,2285,42.8973,-106.464
13805,2001-06,Alabama,0,,6395,6595,,230,0,,,,,,,,,,,,,,,,,,13220,32.4184,-86.2826
13806,2001-06,Alaska,0,,1051,1505,,70,0,,,,,,,,,,,,,,,,,,2626,61.615,-149.619
13807,2001-06,Arizona,990,,4444,4392,,178,21,,,,,,,,,,,,,,,,,,10025,33.5093,-112.074
13808,2001-06,Arkansas,410,,2845,5171,,162,0,,,,,,,,,,,,,,,,,,8588,35.9273,-89.919
13809,2001-06,California,20117,,21688,25006,,0,0,,,,,,,,,,,,,,,,,,66811,34.1477,-119.195
13810,2001-06,Colorado,0,,8865,12316,,669,0,,,,,,,,,,,,,,,,,,21850,38.9184,-104.712
13811,2001-06,Connecticut,6321,,9,4,,0,5,,,,,,,,,,,,,,,,,,6339,41.2024,-73.1981
13812,2001-06,Delaware,0,,334,497,,21,0,,,,,,,,,,,,,,,,,,852,39.7454,-75.5726
13813,2001-06,District of Columbia,0,,0,2,,0,0,,,,,,,,,,,,,,,,,,2,38.831,-77.002
13814,2001-06,Florida,0,,10116,7662,,367,876,,,,,,,,,,,,,,,,,,19021,29.5533,-81.2302
13815,2001-06,Georgia,2449,,5429,5782,,187,4453,,,,,,,,,,,,,,,,,,18300,33.7689,-84.4215
13817,2001-06,Hawaii,499,,0,0,,0,0,,,,,,,,,,,,,,,,,,499,21.3186,-157.865
13818,2001-06,Idaho,270,,1325,2791,,77,389,,,,,,,,,,,,,,,,,,4852,42.5578,-114.471
13819,2001-06,Illinois,19149,,3774,4788,,143,0,,,,,,,,,,,,,,,,,,27854,41.6762,-87.6204
13820,2001-06,Indiana,14171,,1441,3128,,6,0,,,,,,,,,,,,,,,,,,18746,41.5779,-87.1563
13821,2001-06,Iowa,2344,,22,1603,,1,17,,,,,,,,,,,,,,,,,,3987,42.4876,-92.3412
13822,2001-06,Kansas,0,,1870,2911,,118,0,,,,,,,,,,,,,,,,,,4899,37.6779,-97.3495
13823,2001-06,Kentucky,0,,5822,7658,,368,0,,,,,,,,,,,,,,,,,,13848,38.0652,-84.5067
13824,2001-06,Louisiana,0,,4559,5423,,190,0,,,,,,,,,,,,,,,,,,10172,29.9668,-90.0188
13825,2001-06,Maine,0,,780,1599,,42,0,,,,,,,,,,,,,,,,,,2421,43.4564,-70.5447
13827,2001-06,Maryland,1992,,105,2842,,11,0,,,,,,,,,,,,,,,,,,4950,39.3342,-76.6844
13828,2001-06,Massachusetts,2305,,1033,702,,28,239,,,,,,,,,,,,,,,,,,4307,41.6942,-71.1366
13829,2001-06,Michigan,9134,,73,8664,,2,0,,,,,,,,,,,,,,,,,,17873,42.3819,-83.2819
13830,2001-06,Minnesota,2086,,1985,5601,,84,0,,,,,,,,,,,,,,,,,,9756,44.9918,-93.1702
